KW,S5,S11,S12,S13,S15
0.21,0.23,0.25,0.14,0.19,0.21
0.21,0.23,0.25,0.14,0.19,0.21
0.21,0.23,0.25,0.14,0.19,0.21
0.2,0.23,0.25,0.14,0.19,0.21
0.2,0.28,0.18,0.25,0.14,0.15
0.2,0.15,0.16,0.19,0.14,0.17
0.21,0.15,0.16,0.19,0.14,0.17
0.22,0.17,0.2,0.21,0.15,0.2
0.22,0.17,0.2,0.21,0.15,0.2
0.21,0.17,0.23,0.12,0.16,0.25
0.2,0.17,0.23,0.12,0.16,0.25
0.21,0.17,0.23,0.12,0.16,0.25
0.21,0.17,0.23,0.12,0.16,0.25
0.21,0.17,0.23,0.12,0.16,0.25
0.21,0.17,0.23,0.12,0.16,0.25
0.22,0.17,0.23,0.12,0.16,0.25
0.22,0.17,0.23,0.12,0.16,0.25
0.22,0.17,0.23,0.12,0.16,0.25
0.22,0.17,0.23,0.12,0.16,0.25
0.21,0.19,0.24,0.13,0.23,0.13
0.21,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.21,0.19,0.24,0.13,0.23,0.13
0.21,0.19,0.24,0.13,0.23,0.13
0.21,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.21,0.19,0.24,0.13,0.23,0.13
0.21,0.19,0.24,0.13,0.23,0.13
0.21,0.19,0.24,0.13,0.23,0.13
0.21,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.2,0.19,0.24,0.13,0.23,0.13
0.21,0.19,0.24,0.13,0.23,0.13
0.21,0.22,0.17,0.13,0.26,0.21
0.21,0.22,0.17,0.13,0.26,0.21
0.21,0.22,0.17,0.13,0.26,0.21
0.21,0.22,0.17,0.13,0.26,0.21
0.22,0.22,0.17,0.13,0.26,0.21
0.22,0.22,0.17,0.13,0.26,0.21
0.21,0.22,0.17,0.13,0.26,0.21
0.21,0.22,0.17,0.13,0.26,0.21
0.22,0.22,0.17,0.13,0.26,0.21
0.22,0.22,0.17,0.13,0.26,0.21
0.22,0.22,0.17,0.13,0.26,0.21
0.22,0.22,0.17,0.13,0.26,0.21
0.23,0.22,0.17,0.13,0.26,0.21
0.23,0.22,0.17,0.13,0.26,0.21
0.23,0.22,0.17,0.13,0.26,0.21
0.22,0.22,0.17,0.13,0.26,0.21
0.22,0.22,0.17,0.13,0.26,0.21
0.2,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.19,0.15,0.25,0.11,0.27,0.25
0.19,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.2,0.15,0.25,0.11,0.27,0.25
0.21,0.15,0.2,0.27,0.11,0.19
0.2,0.15,0.2,0.27,0.11,0.19
0.18,0.15,0.2,0.27,0.11,0.19
0.18,0.15,0.2,0.27,0.11,0.19
0.19,0.15,0.2,0.27,0.11,0.19
0.21,0.15,0.2,0.27,0.11,0.19
0.22,0.15,0.2,0.27,0.11,0.19
0.22,0.15,0.2,0.27,0.11,0.19
0.22,0.15,0.2,0.27,0.11,0.19
0.21,0.15,0.2,0.27,0.11,0.19
0.21,0.25,0.26,0.25,0.14,0.27
0.21,0.25,0.26,0.25,0.14,0.27
0.21,0.25,0.26,0.25,0.14,0.27
0.2,0.25,0.26,0.25,0.14,0.27
0.2,0.25,0.26,0.25,0.14,0.27
0.2,0.25,0.14,0.22,0.11,0.25
0.2,0.25,0.14,0.22,0.11,0.25
0.2,0.25,0.14,0.22,0.11,0.25
0.2,0.25,0.14,0.22,0.11,0.25
0.2,0.25,0.14,0.22,0.11,0.25
