KW,Bulk 2.0,Bulk 2.05,Bulk 2.1
0.28,0.35,0.29,0.29
0.29,0.35,0.29,0.29
0.29,0.35,0.29,0.29
0.29,0.24,0.26,0.23
0.29,0.29,0.24,0.28
0.30,0.29,0.24,0.28
0.30,0.29,0.24,0.28
0.29,0.29,0.24,0.28
0.30,0.29,0.24,0.28
0.30,0.29,0.24,0.28
0.30,0.29,0.24,0.28
0.29,0.29,0.24,0.28
0.30,0.29,0.24,0.28
0.31,0.41,0.36,0.35
0.31,0.41,0.36,0.35
0.31,0.41,0.36,0.35
0.33,0.41,0.36,0.35
0.35,0.41,0.36,0.35
0.36,0.41,0.36,0.35
0.36,0.41,0.36,0.35
0.37,0.41,0.36,0.35
0.36,0.41,0.36,0.35
0.36,0.41,0.36,0.35
0.37,0.41,0.36,0.35
0.39,0.41,0.36,0.35
0.40,0.41,0.36,0.35
0.40,0.41,0.36,0.35
0.39,0.41,0.36,0.35
0.39,0.41,0.36,0.35
0.39,0.41,0.36,0.35
0.39,0.41,0.36,0.35
0.39,0.41,0.36,0.35
0.38,0.41,0.36,0.35
0.38,0.41,0.36,0.35
0.38,0.41,0.36,0.35
0.37,0.41,0.36,0.35
0.37,0.41,0.36,0.35
0.35,0.41,0.36,0.35
0.35,0.41,0.36,0.35
0.36,0.41,0.36,0.35
0.36,0.41,0.36,0.35
0.36,0.41,0.36,0.35
0.35,0.41,0.36,0.35
0.34,0.41,0.36,0.35
0.35,0.41,0.36,0.35
0.36,0.41,0.36,0.35
0.36,0.41,0.36,0.35
0.35,0.34,0.28,0.27
0.34,0.34,0.28,0.27
0.33,0.34,0.28,0.27
0.35,0.34,0.28,0.27
0.39,0.34,0.28,0.27
0.40,0.34,0.28,0.27
0.36,0.34,0.28,0.27
0.33,0.34,0.28,0.27
0.32,0.34,0.28,0.27
0.30,0.34,0.28,0.27
0.29,0.35,0.29,0.28
0.28,0.35,0.29,0.28
0.27,0.35,0.29,0.28
0.27,0.35,0.29,0.28
0.27,0.35,0.29,0.28
0.27,0.35,0.29,0.28
0.27,0.35,0.29,0.28
0.27,0.35,0.29,0.28
0.28,0.35,0.29,0.28
0.28,0.35,0.29,0.28
0.29,0.35,0.29,0.28
0.31,0.35,0.29,0.28
0.31,0.35,0.29,0.28
0.32,0.35,0.29,0.28
0.32,0.35,0.29,0.28
0.32,0.35,0.29,0.28
0.32,0.35,0.29,0.28
0.31,0.35,0.29,0.28
0.30,0.35,0.29,0.28
0.30,0.35,0.29,0.28
0.31,0.35,0.29,0.28
0.31,0.35,0.29,0.28
0.31,0.35,0.29,0.28
0.32,0.35,0.29,0.28
0.32,0.35,0.29,0.28
0.32,0.35,0.29,0.28
0.32,0.35,0.29,0.28
0.33,0.35,0.29,0.28
0.34,0.35,0.29,0.28
0.34,0.35,0.29,0.28
0.35,0.32,0.25,0.24
0.36,0.32,0.25,0.24
0.37,0.32,0.25,0.24
0.39,0.32,0.25,0.24
0.40,0.32,0.25,0.24
0.41,0.32,0.25,0.24
0.39,0.32,0.25,0.24
0.39,0.32,0.25,0.24
0.39,0.32,0.25,0.24
0.39,0.32,0.25,0.24
0.38,0.32,0.25,0.24
0.37,0.32,0.25,0.24
0.36,0.32,0.25,0.24
0.35,0.32,0.25,0.24
0.34,0.32,0.25,0.24
0.32,0.32,0.25,0.24
0.29,0.32,0.25,0.24
0.27,0.32,0.25,0.24
0.26,0.32,0.25,0.24
0.23,0.32,0.25,0.24
0.20,0.32,0.25,0.24
0.17,0.32,0.25,0.24
0.14,0.32,0.25,0.24
0.13,0.32,0.25,0.24
0.13,0.32,0.25,0.24
0.12,0.32,0.25,0.24
